City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
297,Dehloran,32.69,47.27,94.39,10,0,4.16,IR,clear sky
298,Manuk Mangkaw,4.8,119.85,84.83,70,50,8.68,PH,light rain
299,Terenos,-20.44,-54.86,75.2,23,0,11.41,BR,clear sky
300,Pingliang,35.54,106.69,76.82,62,87,13.91,CN,overcast clouds
301,Umba,66.69,34.34,46.44,77,4,6.8,RU,clear sky
302,Daru,-9.08,143.21,79.03,85,84,20.15,PG,light rain
303,Nemea,37.82,22.67,77.0,37,0,1.01,GR,clear sky
304,Houma,29.6,-90.72,81.0,94,40,3.36,US,scattered clouds
305,Tecoanapa,16.52,-98.75,78.82,82,98,3.2,MX,moderate rain
306,Samarai,-10.62,150.67,78.62,88,94,16.51,PG,light rain
307,Kayseri,38.74,35.5,57.2,71,0,6.93,TR,clear sky
308,Sur,22.57,59.53,88.97,53,99,1.34,OM,overcast clouds
309,Kutum,14.2,24.67,70.99,80,100,11.9,SD,light rain
310,Namatanai,-3.67,152.43,84.47,66,53,6.31,PG,broken clouds
311,Kruisfontein,-34.0,24.73,46.35,92,75,4.72,ZA,broken clouds
312,Pestravka,52.41,49.96,68.85,70,99,5.99,RU,overcast clouds
313,Kenora,49.82,-94.43,59.0,77,20,9.17,CA,few clouds
314,Qaqortoq,60.72,-46.03,55.4,47,100,24.16,GL,moderate rain
315,Talaya,61.38,152.75,40.44,88,100,9.04,RU,light rain
316,Nyurba,63.28,118.33,65.14,44,100,5.91,RU,overcast clouds
317,Deputatskiy,69.3,139.9,47.68,58,27,9.06,RU,scattered clouds
318,Mount Isa,-20.73,139.5,80.6,16,0,17.22,AU,clear sky
319,Dunajska Streda,47.99,17.61,63.0,84,34,4.32,SK,scattered clouds
320,Galesong,-5.32,119.37,93.2,41,20,8.05,ID,few clouds
321,San Patricio,19.22,-104.7,77.65,86,93,5.86,MX,overcast clouds
322,Rocha,-34.48,-54.33,55.11,96,86,4.29,UY,overcast clouds
323,Acajutla,13.59,-89.83,72.0,99,100,3.91,SV,overcast clouds
324,Simbahan,6.3,120.58,83.88,70,59,6.4,PH,broken clouds
325,Bintulu,3.17,113.03,84.2,79,40,5.82,MY,scattered clouds
326,Muyezerskiy,63.93,31.65,45.05,87,17,3.02,RU,few clouds
