City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Chokurdakh,70.63,147.92,44.29,60,73,6.04,RU,2020-08-25 03:44:54
143,Pisco,-13.7,-76.22,62.01,87,11,16.11,PE,2020-08-25 03:44:54
144,Santa Marta,11.24,-74.2,80.51,78,100,7.29,CO,2020-08-25 03:44:54
145,Bardsir,29.92,56.57,73.4,31,0,4.7,IR,2020-08-25 03:44:54
146,Sarankhola,22.31,89.79,86.36,77,100,8.12,BD,2020-08-25 03:44:54
147,Broken Hill,-31.95,141.43,57.2,41,0,6.93,AU,2020-08-25 03:44:54
148,Narsaq,60.92,-46.05,42.8,81,24,1.12,GL,2020-08-25 03:44:54
149,Ulundi,-28.34,31.42,56.01,87,43,1.63,ZA,2020-08-25 03:44:54
150,Crailsheim,49.13,10.07,50.0,93,22,3.91,DE,2020-08-25 03:44:54
151,Pangoa,-12.12,-73.0,70.12,77,81,1.9,PE,2020-08-25 03:44:54
152,Lata,40.16,-8.33,64.99,100,75,3.36,PT,2020-08-25 03:44:54
153,Grenfell,-33.9,148.17,49.14,64,79,8.86,AU,2020-08-25 03:44:54
154,Hualmay,-11.1,-77.61,59.36,84,9,10.38,PE,2020-08-25 03:44:54
155,Zhigansk,66.77,123.37,54.66,41,0,4.54,RU,2020-08-25 03:44:54
156,Maniitsoq,65.42,-52.9,43.99,81,60,3.83,GL,2020-08-25 03:44:54
157,Matata,-37.88,176.75,60.01,69,100,4.0,NZ,2020-08-25 03:44:54
158,Pevek,69.7,170.31,37.99,97,100,4.34,RU,2020-08-25 03:44:54
159,Ayan,56.45,138.17,55.87,87,100,10.71,RU,2020-08-25 03:44:55
160,Hithadhoo,-0.6,73.08,83.39,65,92,1.66,MV,2020-08-25 03:44:55
161,Mahebourg,-20.41,57.7,69.8,73,75,11.41,MU,2020-08-25 03:44:55
162,San Andres,12.58,-81.7,80.6,88,75,4.7,CO,2020-08-25 03:44:55
163,Jimma,7.67,36.83,57.74,90,96,1.72,ET,2020-08-25 03:44:55
164,Gold Coast,-28.0,153.43,70.0,49,40,11.41,AU,2020-08-25 03:41:28
165,Kyabram,-36.32,145.05,57.0,40,23,7.47,AU,2020-08-25 03:44:55
166,Nizwa,22.93,57.53,87.64,52,100,4.16,OM,2020-08-25 03:44:09
167,Noshiro,40.2,140.02,86.0,62,75,2.24,JP,2020-08-25 03:44:55
168,Bhalwal,32.27,72.9,91.65,53,3,6.22,PK,2020-08-25 03:44:55
169,Agua Preta,-8.71,-35.53,64.0,87,0,3.13,BR,2020-08-25 03:44:55
170,Sao Joao Da Barra,-21.64,-41.05,63.63,78,2,12.3,BR,2020-08-25 03:44:55
171,Sinnamary,5.38,-52.95,78.24,87,1,7.49,GF,2020-08-25 03:44:55
172,Saint-Joseph,-21.37,55.62,68.0,56,18,5.82,RE,2020-08-25 03:44:56
173,Lichtenburg,-26.15,26.16,53.55,41,0,8.52,ZA,2020-08-25 03:44:56
174,Ostrovnoy,68.05,39.51,55.18,76,14,10.8,RU,2020-08-25 03:44:56
175,Babusnica,43.06,22.41,62.01,93,56,2.15,RS,2020-08-25 03:44:56
176,Anju,39.62,125.66,75.54,96,100,4.5,KP,2020-08-25 03:44:56
177,Saint Anthony,45.02,-93.22,79.0,65,90,4.7,US,2020-08-25 03:44:56
178,Los Llanos De Aridane,28.66,-17.92,75.0,73,20,14.99,ES,2020-08-25 03:44:56
179,Fortuna,40.6,-124.16,57.0,100,90,5.82,US,2020-08-25 03:44:56
180,Springville,40.17,-111.61,82.4,34,40,4.7,US,2020-08-25 03:44:56
181,Gigmoto,13.78,124.39,90.39,61,58,9.73,PH,2020-08-25 03:44:56
182,Roma,43.21,-75.46,71.6,78,1,3.29,US,2020-08-25 03:41:51
183,Bloomfield,40.81,-74.19,81.0,65,1,8.01,US,2020-08-25 03:44:56
184,Hami,42.8,93.45,92.59,13,12,4.36,CN,2020-08-25 03:44:56
